State,Law,Intervention,InterventionYear,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Prediction2001,Prediction2002,Prediction2003,MeanPre,SDPre,Zscore,Zscore2,Zscore3
IL,gunshow,implemented,2005,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,393.571428571429,97.2297230666582,-0.232145354933852,-0.684681869614946,-1.13721838429604
IL,gunshowh,implemented,2005,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,393.571428571429,97.2297230666582,-0.232145354933852,-0.684681869614946,-1.13721838429604
IL,exparte,implemented,2010,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,389,74.3651922486711,-0.242048725428026,-0.833723387585303,-1.42539804974258
IL,expartedating,implemented,2010,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,389,74.3651922486711,-0.242048725428026,-0.833723387585303,-1.42539804974258
IL,expartesurrender,implemented,2010,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,389,74.3651922486711,-0.242048725428026,-0.833723387585303,-1.42539804974258
IL,expartesurrenderdating,implemented,2010,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,389,74.3651922486711,-0.242048725428026,-0.833723387585303,-1.42539804974258
IL,expartesurrendernoconditions,implemented,2010,459,415,216,486,482,352,345,397,346,422,390,358,392,433,370,384,436,816,370.999999999999,327.000000000006,283.000000000012,389,74.3651922486711,-0.242048725428026,-0.833723387585303,-1.42539804974258
KS,ccbackgroundnics,removal,2007,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,40.4444444444444,21.5645027250289,0.164880016056524,1.18507511540664,2.20527021475677
KS,ccrenewbackground,removal,2007,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,40.4444444444444,21.5645027250289,0.164880016056524,1.18507511540664,2.20527021475677
KS,mayissue,removal,2007,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,40.4444444444444,21.5645027250289,0.164880016056524,1.18507511540664,2.20527021475677
KS,showing,removal,2007,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,40.4444444444444,21.5645027250289,0.164880016056524,1.18507511540664,2.20527021475677
KS,stalking,removal,2008,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,42.2,21.0755255635008,0.0854071228057742,1.12927195709949,2.17313679139321
KS,ccrenewbackground,implemented,2010,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,47.5833333333333,22.9563155633134,-0.156093573616043,0.802248366723682,1.76059030706341
KS,danger,implemented,2010,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,47.5833333333333,22.9563155633134,-0.156093573616043,0.802248366723682,1.76059030706341
KS,elementary,removal,2010,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,47.5833333333333,22.9563155633134,-0.156093573616043,0.802248366723682,1.76059030706341
KS,invcommitment,implemented,2010,0,22,40,28,47,41,52,68,66,58,80,69,74,53,71,57,83,59,43.9999999999982,65.9999999999949,87.9999999999917,47.5833333333333,22.9563155633134,-0.156093573616043,0.802248366723682,1.76059030706341
MI,nosyg,removal,2006,476,464,463,449,429,442,417,467,422,368,424,418,461,525,429,358,394,429,452.000000000004,440.000000000006,428.000000000007,450.875,20.4201406179571,0.0550926666496306,-0.532562444277741,-1.12021755520512
MI,permith,removal,2012,476,464,463,449,429,442,417,467,422,368,424,418,461,525,429,358,394,429,452.000000000004,440.000000000006,428.000000000007,444.642857142857,36.6660755863114,0.200652585244034,-0.126625417872234,-0.453903420988503
MI,permitlaw,removal,2012,476,464,463,449,429,442,417,467,422,368,424,418,461,525,429,358,394,429,452.000000000004,440.000000000006,428.000000000007,444.642857142857,36.6660755863114,0.200652585244034,-0.126625417872234,-0.453903420988503
MI,training,removal,2012,476,464,463,449,429,442,417,467,422,368,424,418,461,525,429,358,394,429,452.000000000004,440.000000000006,428.000000000007,444.642857142857,36.6660755863114,0.200652585244034,-0.126625417872234,-0.453903420988503
MO,ccbackground,implemented,2008,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,244.999999999997,260.999999999995,276.999999999992,249,45.9903371493525,-0.0869747918353649,0.260924375505769,0.608823542846903
MO,felony,implemented,2008,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,244.999999999997,260.999999999995,276.999999999992,249,45.9903371493525,-0.0869747918353649,0.260924375505769,0.608823542846903
NH,preemption,removal,2003,4,5,7,9,2,4,7,3,5,2,4,5,6,9,5,8,7,10,6.00000000000004,6.99999999999989,7.99999999999974,5.4,2.70185121722126,0.222069963059295,0.592186568158043,0.962303173256792
NH,preemptionbroad,removal,2003,4,5,7,9,2,4,7,3,5,2,4,5,6,9,5,8,7,10,6.00000000000004,6.99999999999989,7.99999999999974,5.4,2.70185121722126,0.222069963059295,0.592186568158043,0.962303173256792
NH,preemptionnarrow,removal,2003,4,5,7,9,2,4,7,3,5,2,4,5,6,9,5,8,7,10,6.00000000000004,6.99999999999989,7.99999999999974,5.4,2.70185121722126,0.222069963059295,0.592186568158043,0.962303173256792
OR,invoutpatient,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,recordsall,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,recordsallh,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,reportall,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,reportallh,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,universal,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,universalh,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,universalpermit,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,universalpermith,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,45.9411764705882,5.73879983353765,0.184502606838448,0.358755068852517,0.533007530866585
OR,dvro,implemented,2016,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,46.3888888888889,5.88256535564193,0.103885137548872,0.273878998992464,0.443872860436054
OR,mcdv,implemented,2016,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,47,47.9999999999999,48.9999999999997,46.3888888888889,5.88256535564193,0.103885137548872,0.273878998992464,0.443872860436054
WV,exparte,implemented,2001,46,39,19,43,33,36,38,35,34,31,35,27,40,41,30,22,37,48,32.0000000000007,25.0000000000017,18.0000000000028,34.6666666666667,14.0118997046558,-0.190314427227873,-0.689889798701097,-1.18946517017432
WV,expartedating,implemented,2001,46,39,19,43,33,36,38,35,34,31,35,27,40,41,30,22,37,48,32.0000000000007,25.0000000000017,18.0000000000028,34.6666666666667,14.0118997046558,-0.190314427227873,-0.689889798701097,-1.18946517017432
